uf,mes,acidentes,leitos_estim,atendimentos_estim,obitos
Paraíba,Mai/26,126,43,158,12
Paraíba,Jun/26,116,34,134,11
Pernambuco,Jan/25,220,70,250,19
Pernambuco,Fev/25,214,71,268,33
Pernambuco,Mar/25,251,90,326,20
Pernambuco,Abr/25,228,86,287,22
Pernambuco,Mai/25,248,106,321,36
Pernambuco,Jun/25,239,89,294,24
Pernambuco,Jul/25,252,82,301,30
Pernambuco,Ago/25,265,91,320,28
Pernambuco,Set/25,237,72,274,28
Pernambuco,Out/25,251,119,329,41
Pernambuco,Nov/25,285,111,322,28
Pernambuco,Dez/25,323,107,392,27
Pernambuco,Jan/26,278,92,345,23
Pernambuco,Fev/26,268,103,332,34
Pernambuco,Mar/26,271,96,346,32
Pernambuco,Abr/26,268,86,308,22
Pernambuco,Mai/26,242,79,279,29
Pernambuco,Jun/26,201,56,245,31
Piauí,Jan/25,118,64,173,19
Piauí,Fev/25,87,27,108,9
Piauí,Mar/25,108,51,127,8
Piauí,Abr/25,116,46,144,19
Piauí,Mai/25,106,42,152,11
Piauí,Jun/25,143,54,180,19
Piauí,Jul/25,165,57,190,18
Piauí,Ago/25,125,51,153,13
Piauí,Set/25,132,47,152,13
Piauí,Out/25,137,57,159,13
Piauí,Nov/25,117,43,142,11
Piauí,Dez/25,136,68,177,15
Piauí,Jan/26,115,51,143,15
Piauí,Fev/26,113,41,139,9
Piauí,Mar/26,116,40,132,10
Piauí,Abr/26,122,47,178,23
Piauí,Mai/26,96,35,101,14
Piauí,Jun/26,86,38,115,13
Paraná,Jan/25,608,154,746,49
Paraná,Fev/25,557,150,689,39
Paraná,Mar/25,616,155,745,52
Paraná,Abr/25,578,150,676,57
Paraná,Mai/25,670,159,762,65
Paraná,Jun/25,610,144,705,40
Paraná,Jul/25,650,156,765,47
Paraná,Ago/25,682,140,793,55
Paraná,Set/25,630,148,789,49
Paraná,Out/25,668,183,807,42
Paraná,Nov/25,671,181,806,57
Paraná,Dez/25,690,173,847,41
Paraná,Jan/26,606,162,777,54
Paraná,Fev/26,592,156,741,47
Paraná,Mar/26,662,152,763,41
Paraná,Abr/26,703,177,845,50
Paraná,Mai/26,608,116,623,34
Paraná,Jun/26,488,117,558,43
Rio de Janeiro,Jan/25,490,102,638,25
