uf,mes,acidentes
Rondônia,Mar/25,110
Rondônia,Abr/25,126
Rondônia,Mai/25,137
Rondônia,Jun/25,123
Rondônia,Jul/25,118
Rondônia,Ago/25,126
Rondônia,Set/25,141
Rondônia,Out/25,121
Rondônia,Nov/25,122
Rondônia,Dez/25,131
Rondônia,Jan/26,133
Rondônia,Fev/26,153
Rondônia,Mar/26,156
Rondônia,Abr/26,152
Rondônia,Mai/26,165
Rondônia,Jun/26,109
Roraima,Jan/25,10
Roraima,Fev/25,14
Roraima,Mar/25,11
Roraima,Abr/25,10
Roraima,Mai/25,12
Roraima,Jun/25,17
Roraima,Jul/25,13
Roraima,Ago/25,11
Roraima,Set/25,13
Roraima,Out/25,11
Roraima,Nov/25,15
Roraima,Dez/25,5
Roraima,Jan/26,10
Roraima,Fev/26,10
Roraima,Mar/26,10
Roraima,Abr/26,9
Roraima,Mai/26,7
Roraima,Jun/26,6
Rio Grande do Sul,Jan/25,402
Rio Grande do Sul,Fev/25,393
Rio Grande do Sul,Mar/25,417
Rio Grande do Sul,Abr/25,417
Rio Grande do Sul,Mai/25,422
Rio Grande do Sul,Jun/25,411
Rio Grande do Sul,Jul/25,412
Rio Grande do Sul,Ago/25,411
Rio Grande do Sul,Set/25,379
Rio Grande do Sul,Out/25,388
Rio Grande do Sul,Nov/25,382
Rio Grande do Sul,Dez/25,465
Rio Grande do Sul,Jan/26,355
Rio Grande do Sul,Fev/26,331
Rio Grande do Sul,Mar/26,398
Rio Grande do Sul,Abr/26,404
Rio Grande do Sul,Mai/26,389
Rio Grande do Sul,Jun/26,303
Santa Catarina,Jan/25,612
Santa Catarina,Fev/25,619
Santa Catarina,Mar/25,669
Santa Catarina,Abr/25,678
Santa Catarina,Mai/25,694
Santa Catarina,Jun/25,641
Santa Catarina,Jul/25,727
Santa Catarina,Ago/25,695
Santa Catarina,Set/25,667
Santa Catarina,Out/25,711
Santa Catarina,Nov/25,678
Santa Catarina,Dez/25,795
Santa Catarina,Jan/26,706
Santa Catarina,Fev/26,676
Santa Catarina,Mar/26,747
Santa Catarina,Abr/26,724
Santa Catarina,Mai/26,630
Santa Catarina,Jun/26,477
Sergipe,Jan/25,52
Sergipe,Fev/25,42
Sergipe,Mar/25,42
Sergipe,Abr/25,42
Sergipe,Mai/25,47
Sergipe,Jun/25,54
Sergipe,Jul/25,45
Sergipe,Ago/25,46
Sergipe,Set/25,42
Sergipe,Out/25,71
Sergipe,Nov/25,52
Sergipe,Dez/25,54
Sergipe,Jan/26,55
Sergipe,Fev/26,41
Sergipe,Mar/26,38
Sergipe,Abr/26,49
Sergipe,Mai/26,52
Sergipe,Jun/26,30
São Paulo,Jan/25,348
São Paulo,Fev/25,349
São Paulo,Mar/25,396
São Paulo,Abr/25,394
São Paulo,Mai/25,408
São Paulo,Jun/25,385
São Paulo,Jul/25,363
São Paulo,Ago/25,393
São Paulo,Set/25,390
São Paulo,Out/25,419
São Paulo,Nov/25,421
São Paulo,Dez/25,417
São Paulo,Jan/26,330
São Paulo,Fev/26,354
São Paulo,Mar/26,391
São Paulo,Abr/26,343
São Paulo,Mai/26,358
São Paulo,Jun/26,269
Tocantins,Jan/25,40
Tocantins,Fev/25,42
Tocantins,Mar/25,59
Tocantins,Abr/25,57
Tocantins,Mai/25,58
Tocantins,Jun/25,68
Tocantins,Jul/25,62
Tocantins,Ago/25,64
Tocantins,Set/25,53
Tocantins,Out/25,47
Tocantins,Nov/25,47
Tocantins,Dez/25,80
Tocantins,Jan/26,67
Tocantins,Fev/26,55
Tocantins,Mar/26,63
Tocantins,Abr/26,61
Tocantins,Mai/26,64
Tocantins,Jun/26,48
