uf,tipo,acidentes
Paraná,Colisão lateral mesmo sentido,1234
Paraná,Colisão lateral sentido oposto,279
Paraná,Colisão transversal,1382
Paraná,Colisão traseira,2259
Paraná,Derramamento de carga,13
Paraná,Engavetamento,211
Paraná,Eventos atípicos,22
Paraná,Incêndio,244
Paraná,Queda de ocupante de veículo,395
Paraná,Saída de leito carroçável,2140
Paraná,Tombamento,902
Rio de Janeiro,Atropelamento de Animal,120
Rio de Janeiro,Atropelamento de Pedestre,521
Rio de Janeiro,Capotamento,177
Rio de Janeiro,Colisão com objeto,725
Rio de Janeiro,Colisão frontal,467
Rio de Janeiro,Colisão lateral mesmo sentido,1218
Rio de Janeiro,Colisão lateral sentido oposto,180
Rio de Janeiro,Colisão transversal,951
Rio de Janeiro,Colisão traseira,2094
Rio de Janeiro,Derramamento de carga,9
Rio de Janeiro,Engavetamento,202
Rio de Janeiro,Eventos atípicos,30
Rio de Janeiro,Incêndio,284
Rio de Janeiro,Queda de ocupante de veículo,969
Rio de Janeiro,Saída de leito carroçável,643
Rio de Janeiro,Sinistro pessoal de trânsito,1
Rio de Janeiro,Tombamento,813
Rio Grande do Norte,Atropelamento de Animal,94
Rio Grande do Norte,Atropelamento de Pedestre,104
Rio Grande do Norte,Capotamento,29
Rio Grande do Norte,Colisão com objeto,145
Rio Grande do Norte,Colisão frontal,120
Rio Grande do Norte,Colisão lateral mesmo sentido,282
Rio Grande do Norte,Colisão lateral sentido oposto,57
Rio Grande do Norte,Colisão transversal,379
Rio Grande do Norte,Colisão traseira,588
Rio Grande do Norte,Derramamento de carga,1
Rio Grande do Norte,Engavetamento,42
Rio Grande do Norte,Eventos atípicos,10
Rio Grande do Norte,Incêndio,37
Rio Grande do Norte,Queda de ocupante de veículo,129
Rio Grande do Norte,Saída de leito carroçável,158
Rio Grande do Norte,Tombamento,133
Rondônia,Atropelamento de Animal,51
Rondônia,Atropelamento de Pedestre,55
Rondônia,Capotamento,28
Rondônia,Colisão com objeto,94
Rondônia,Colisão frontal,135
Rondônia,Colisão lateral mesmo sentido,301
Rondônia,Colisão lateral sentido oposto,101
Rondônia,Colisão transversal,456
Rondônia,Colisão traseira,469
Rondônia,Derramamento de carga,2
Rondônia,Engavetamento,27
Rondônia,Eventos atípicos,14
