"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
768808;2026-03-26;"quinta-feira";"19:45:00";"PR";116;211,2;"RIO NEGRO";"Ultrapassagem Indevida";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;2;0;1;0;2;2;-26,1021897;-49,7805428;"SPRF-SC";"DEL06/SC";"UOP01-DEL06-SC"
768809;2026-05-01;"sexta-feira";"20:00:00";"RS";290;339;"CACAPAVA DO SUL";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Não";6;0;1;0;5;0;1;2;-30,373835;-53,585867;"SPRF-RS";"DEL09/RS";"UOP02-DEL09-RS"
768811;2026-05-01;"sexta-feira";"22:10:00";"PR";376;381,8;"IMBAU";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-24,45213;-50,75722;"SPRF-PR";"DEL03/PR";"UOP02-DEL03-PR"
768813;2026-05-01;"sexta-feira";"23:00:00";"PR";376;280;"MARILANDIA DO SUL";"Deixar de acionar o farol da motocicleta (ou similar)";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;1;0;0;1;1;-23,83676391;-51,26215875;"SPRF-PR";"DEL07/PR";"UOP02-DEL07-PR"
768814;2026-05-01;"sexta-feira";"21:50:00";"AL";316;254;"PILAR";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Sim";2;0;0;1;0;1;1;2;-9,5904;-35,95284;"SPRF-AL";"DEL02-AL";"UOP01-DEL02-AL"
768815;2026-05-01;"sexta-feira";"21:10:00";"RS";470;176,9;"VERANOPOLIS";"Ausência de reação do condutor";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Simples";"Curva;Interseção de Vias";"Sim";2;0;0;1;1;0;1;2;-28,9314886;-51,54160881;"SPRF-RS";"DEL06/RS";"UOP02-DEL06-RS"
768816;2026-05-01;"sexta-feira";"21:55:00";"RS";290;11;"OSORIO";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;1;-29,889834;-50,382321;"SPRF-RS";"DEL03/RS";"UOP01-DEL03-RS"
768818;2026-05-01;"sexta-feira";"23:00:00";"RS";285;454;"IJUI";"Ingestão de álcool pelo condutor";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Interseção de Vias";"Não";1;0;1;0;0;0;1;1;-28,38498209;-53,88778925;"SPRF-RS";"DEL10/RS";"UOP01-DEL10-RS"
768820;2026-05-01;"sexta-feira";"23:00:00";"PR";476;242;"LAPA";"Chuva";"Tombamento";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Curva";"Não";1;0;0;0;0;1;0;1;-25,86737625;-49,97447675;"SPRF-PR";"DEL02/PR";"UOP03-DEL02-PR"
768821;2026-05-01;"sexta-feira";"23:00:00";"MG";262;310,9;"NOVA ERA";"Avarias e/ou desgaste excessivo no pneu";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Curva;Aclive";"Não";2;0;2;0;0;0;2;1;-19,67653507;-42,97988892;"SPRF-MG";"DEL01/MG";"UOP01-DEL01-MG"
768822;2026-05-01;"sexta-feira";"22:50:00";"MS";163;479,3;"CAMPO GRANDE";"Transitar no Acostamento";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";4;0;1;0;3;0;1;3;-20,48441147;-54,5593071;"SPRF-MS";"DEL01/MS";"UOP01-DEL01-MS"
768823;2026-05-01;"sexta-feira";"23:40:00";"PI";343;3,4;"PARNAIBA";"Acessar a via sem observar a presença dos outros veículos";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Curva";"Não";4;0;2;0;2;0;2;2;-2,90317086;-41,68400288;"SPRF-PI";"DEL05-PI";"UOP01-DEL05-PI"
768824;2026-05-02;"sábado";"00:10:00";"TO";153;245,7;"COLINAS DO TOCANTINS";"Reação tardia ou ineficiente do condutor";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;-8,047654;-48,46591;"SPRF-TO";"DEL02-TO";"UOP02-DEL02-TO"
768825;2026-05-01;"sexta-feira";"23:00:00";"SC";101;358;"SANGAO";"Condutor Dormindo";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Não";1;0;1;0;0;0;1;1;-28,644168;-49,100932;"SPRF-SC";"DEL02/SC";"UOP01-DEL02-SC"
768826;2026-05-01;"sexta-feira";"23:30:00";"PE";104;67,4;"CARUARU";"Ingestão de álcool pelo condutor";"Colisão com objeto";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";1;0;0;0;0;1;0;1;-8,29665;-35,988398;"SPRF-PE";"DEL02/PE";"UOP01-DEL02-PE"
768827;2026-05-01;"sexta-feira";"23:35:00";"SC";282;33;"AGUAS MORNAS";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Curva;Declive";"Não";1;0;1;0;0;0;1;1;-27,7066;-48,8083;"SPRF-SC";"DEL01/SC";"UOP03-DEL01-SC"
768828;2026-05-01;"sexta-feira";"23:00:00";"RO";425;86;"GUAJARA-MIRIM";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Curva";"Não";1;0;1;0;0;0;1;1;-10,44688114;-65,34762025;"SPRF-RO";"DEL01-RO";"UOP03-DEL01-RO"
768829;2026-05-02;"sábado";"00:30:00";"PR";116;128;"FAZENDA RIO GRANDE";"Ingestão de álcool pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Não";5;0;0;1;4;0;1;3;-25,658057;-49,31227;"SPRF-PR";"DEL01/PR";"UOP03-DEL01-PR"
768830;2026-05-01;"sexta-feira";"23:50:00";"PR";277;531,7;"GUARANIACU";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Declive;Curva";"Não";1;0;1;0;0;0;1;1;-25,0917167;-52,9490107;"SPRF-PR";"DEL04/PR";"UOP04-DEL04-PR"
768831;2026-05-02;"sábado";"00:17:00";"SP";116;209;"GUARULHOS";"Reação tardia ou ineficiente do condutor";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Aclive;Reta";"Não";8;0;7;0;0;1;7;2;-23,42931215;-46,4117953;"SPRF-SP";"DEL01/SP";"UOP01-DEL01-SP"
768834;2026-05-02;"sábado";"01:30:00";"ES";101;169,7;"LINHARES";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;1;1;0;1;2;-19,55958367;-40,17496806;"SPRF-ES";"DEL04-ES";"UOP01-DEL04-ES"
